d100,Entry

1,Give regards/news to loved one.
2,Find the killer.
3,Kill the killer.
4,Finish reading/writing a book/journal.
5,See a child/mentee get married/graduate.
6,Fix the error in the formula they were writing.
7,See someone/something they were waiting for.
8,Get a law changed.
9,Harvest crops of a dilapidated farm.
10,Finish an aria.
11,Make amends.
12,Figure out where they heard that music that was going through their head when they died.
13,Overcome their fear of death.
14,Realize they are actually dead (à la Sixth Sense).
15,See the ocean one last time after dying in the middle of the desert.
16,See land again after being trapped for centuries on a ghost ship.
17,Finish climbing that damn mountain that killed them.
18,Find that one last item that would have completed their (very esoteric) collection.
19,Tell the person who killed them that they are forgiven.
20,Say goodbye to their pet 🙁
21,Make sure their lineage remains pure and the children are responsible with their inheritance.
22,See how the village is doing.
23,See all of their family.
24,Find that stupid treasure they have been venturing for all of their life.
25,"They were listening to a beautiful song when they died, they need to hear how it ends."
26,Possess a commoner for one last bout of carousing (maybe a PC?).
27,"Preserve their tattoos, possibly through some very gross taxidermy (They tell a very important story)."
28,Find what was at that damn spot marked out on the old map they found.
29,Tell their kid not to follow in their footsteps.
30,Return a stolen good to its original owner.
31,Have a treasured possession buried with their corpse.
32,"Dead chef ghost, cannot rest until he proves his signature dish is better than his still living rivals dish."
33,Can't remember if they've left the oven on or not.
34,To reconcile their taxes.
35,Guide them up from the underdark to the surface to see the sun one last time.
36,"Show them that their family / bloodline was not, as they believe, wiped out, by bringing them to observe their descendants."
37,(Evil ghost) Show them that their reign of terror in life is all but forgotten--that they have not been remembered--by bringing them to the cheerful village that they terrorized in life.
38,"They always paid respects to their grandmother on the anniversary of her death, never missed a year until they died. They need to pay their respects one last time."
39,"Their children didn’t pay respects to their grave this year, or the year before. If their children honor their grave one last time, they can pass on."
40,Find their corpse (and therefore discover their cause of death).
41,Pass on the code words to enter their secret society.
42,Remember their own name.
43,"Fulfill their lifelong goal of opening a quaint little bakery, flower shop or barber."
44,Get their buddy laid.
45,Have their funeral rites read and their body laid to rest.
46,"See the sunrise one last time, yet is only on the material plane during the night."
47,Say a final goodbye to family/spouse.
48,To finish the last menial task they had to do.
49,To help their loved one on their adventures.
50,To confess their love for someone they were too afraid to tell while alive.
51,Find the answer to a complex riddle/puzzle.
52,Repair a broken weapon that is part of their family lineage.
53,Find where they buried their life savings and bequeath it to their loved ones.
54,Make sure their family is moved to a better settlement with greater opportunities.
55,Murder their former spouse.
56,Find their missing child whom they were already looking for when they died.
57,Have proper funeral rites read from a priest of their chosen religion.
58,Their town was infested by (insert monster) and needs to be cleansed for them to move on.
59,Be acknowledged for their accomplishments by someone of great import.
60,Willingly receive a proper exorcism.
61,Finish their script for a play they wrote.
62,Feel someone's intimate embrace once more through a willing participant's possession.
63,Change someone's mind about a controversial topic.
64,Have their own mind changed about a controversial topic.
65,Recover the sword of Life Stealing that took his father's life. It was last seen on a tiefling barbarian.
66,To find the purchase agreement of the family farm. It was sold illegally as part of Magistrate Vorkain's rise to power.
67,To take one more breath of air (don't we all?).
68,"Agnor roams the streets of the city in search of the descendants of Bilgurym, the thief that killed him over his coin purse. Agnor won't rest until every descendant of Bilgurym is slain. Bilgurym was slain 500 years prior and yet Agnor still roams the foggy streets of the city."
69,Ghost of famed pirate. Won't rest until his illegitimate boy is made a cabin boy on board a pirate ship.
