d100,Entry

1,The town elder was brutally killed in his home on the full moon. Large claw marks lead to a local tavern.
2,Local blacksmith knows a little too much about the local killings. All the victims were killed by a well-crafted blade.
3,A young maiden husband just died. Funny enough she is about to get married to her new husband next week. That's the third husband that has died on her in two months.
4,"One of the party members wakes up to find his weapons are wet with blood. Later that day, someone turns up dead... with markings similar to the PC's weapons."
5,"A local official is dead. An ambassador from a rival kingdom/tribe/race/etc. happened to be in town that night, and members of the local military are ready to put him to death without further evidence."
6,"A woman is desperately seeking help. Every night, her family is brutally murdered. But they always wake up fine the next morning."
7,"An impoverished tween girl with a real force of personality begs you to help you sort out who's stealing her chickens. She's so poor she only has the chicken coop, and she sleeps in there; but there's another chicken missing every day."
8,"A tavern maiden appeared dead with what seems signs of an already known beast in the area, further investigation show that the beast died long ago."
9,"A local politician hung him/herself, leaving a suicide note. The surviving family insists a mind-control spell was used and that the letter is a forgery."
10,"The ne'er-do-well third child of a local noble family was found dead, encased in a ten-foot cube of ice floating down the local river."
11,"The local priest went missing. One anonymous tip later, and the body was found in a crypt that hasn't been entered in over 10 years."
12,The king/leader of the region was killed by masked assassins during a speech at a town fair.
13,"The party is invited to a mansion in the countryside along with a bunch of NPCs and receive a secret message from the host before they arrive. The host is terminally ill/cursed/bored of this whole 'living' thing and their life insurance doesn't cover natural death/insert other option here, but wants to go out with STYLE, and essentially writes the party into the will/policy/etc. if they stage a murder-mystery. Alternatively, the contractor is a murder mystery novel writer looking for a publicity stunt or something. Feel free to have either go sideways."
14,"Last week, a local wizard's apprentice turned him/herself into the local jail after confessing to killing their master in a laboratory accident. Investigators did a cursory inspection and found evidence of the accident, but no body. The supposedly dead wizard turns up alive within the week, claims a miraculous escape to another plane that took a week to return from, but refuses any sort of investigation. The apprentice dies in mysterious circumstances in jail overnight. (Wizard is secretly a lich.)"
15,"An entire family of hemophiliacs were slaughtered in their house. Some suspect an over-zealous monster hunter who mistook them for vampires, but is the truth darker than that?"
16,An elder red dragon takes the entire capital city hostage until someone can solve the mystery of the murder of its mate.
17,"The reed of a famously kind elven bard was poisoned, and she died playing in the local tavern the party was staying at. Who would target such a kind elf?"
18,"Bdeocles, a devilish imp and former familiar of fifty years has been accused of the murder of his/her master. The imp is a wicked tempter and a natural liar, but seemingly very earnest about not murdering the one long-time trustworthy friend the imp had on the prime plane."
19,Your party is attacked by two-dozen high-level mind flayer warriors and hauled off to their deep city. The mind flayers' high priest and the highest-ranked drow diplomat in their city were murdered. A war with the drow will likely break out unless the perpetrator is brought to justice. They also discovered they have all been infected with a memetic suggestion that prevents them from looking at the case objectively. Even the elder brain is affected. The brain came to the conclusion surface dwellers were needed to sort the mess out. Solve the case or have your brains eaten.
20,"In a locked basement, in an abandoned house, a skeleton/corpse is found starved to death. In their own words, carved into the walls they wrote who their killer is, but time has worn it away. Finding out would depend on finding the identity of the prisoner and discovering their history in the town."
21,A particularly hairy man is discovered near the woods with a silvered knife in his back.
22,"A local villager was recently killed by some kind of creature while out hunting. His body was returned for burial by his fellow hunting party. Yesterday, before the burial ceremony, his body has gone missing."
23,"Several patrons and a local lord running for governor died shortly after drinking his favorite spiced wine from a tavern. Funny enough, that spiced wine was a gift to the tavern from a rival lord running for governor, however, he claims innocence. Suddenly, the tavern owner joins the political race, shouting in the square about the brutality of the local lords and how they need to be replaced."
24,"A group of children went to a lake that supposedly can supposedly show the true form of whatever enters the lake. While skipping stones, the rocks appear to transform into numerous corpses. What psychopath has been killing villagers and how has no one noticed them missing?"
25,Victims in a small town are dying of blood loss overnight. The only problem? There are no wounds to show it.
26,"A group of elderly men, who are or were very prominent in the town (councilors, wealthy merchants, guild leaders etc.) start dying, one by one. At first it seems to be accidents, but soon it escalates to blatant murder. One of the numbers had died of natural causes sometime before, and his body was exhumed, mutilated, and his skull left in the house of one of the others. After the third death, two and two was put together and rumors begin to flow - this is exactly the group of men that were accused of the gang rape of a beautiful young teen girl, many years ago. They are now closing ranks again and have been seen visiting each other's houses to confer. At the time, the power of these men led to the girl's family abandoning her and accusing her of lying. She then disappeared, apparently fled to lead a life of her own."
27,"The town's woodworker was found murdered in his shop, lying over his workbench, a wood axe in his back. On the workbench are carving tools and shavings of a very expensive type of wood."
28,"A man was found on the street, seemingly died from a fall, but there are strange runic markings all over the victim’s body."
29,"A man is found dead, drained of blood. However, he holds a large holy symbol in his outstretched hand."
30,"An entire batch of home-brewed beverages sold in the market square were poisoned - 20 people are dead. Is it the work of a serial killer, or is the mass poisoning a cover for a specific slaying?"
31,A pair of twins are found dead by strangulation on opposite sides of the town; both seem to be killed at the same time. Each was found holding a small glass marble.
32,"A man is found slumped in his creaking rocking chair on the porch of his shack, congealed wax trailing from his head and encrusting his clothes. His bloody eyes, mouth and ears are each stuffed with a thick candle, wicks shouldering in the light breeze."
33,"The Lord was found murdered in the wine cellar; his body completely drained of blood. There were no marks of violence to his corpse. His son has ascended to his position, and despite the young man's previous know-nothing attitude, he's proven to be oddly adept at managing local affairs. Many have said he takes after his father to an uncanny degree."
34,"The party comes to a new town and stays the night at an inn. Everything seems normal, but when they go downstairs the next morning, they find the innkeeper and all the patrons from the previous night have been brutally slain. (Optional: the rest of the town has absolutely no reaction to this.)"
35,"A special item is going to be shipped in secret to his future owner across the sea. The crew has a heated disagreement at the port tavern for some reason (between them, or with a local or the captain finds his daughter with one of them). The captain spends the night prior to the departure at a private lodging, after some business. In the morning of the departure, the captain is nowhere to be seen on the ship, the already stowed away item is missing, and a boy is screaming bloody murder on a back alley. It's the captain with a bludgeoned head and pierced heart. A chip of a half-orc tooth is found nearby, as well as a delicate earing inside the captain's pocket."
36,"You, the party, awake in the morning to find you are dead. You’ve been murdered in your sleep, and now as spirits flirting between the ethereal and material plane you must solve your murder and find some way back into your cold bodies, lest you be really dead, like, forever."
37,You are in an inn and you hear a commotion you run towards it and enter the room the only person in the room is dead and has no pants. Upon further inspection the pants are nowhere to be found.
38,"A powerful magic inducer is brought to town (think transformers' allspark). A scholar at the nearby museum dies during the night as if he was being chased by some weird monster (pixies, orc, you choose). A new painting has been delivered the week prior and might shed some answers to the death. The inducer created a night at the museum scenario and some paintings from a specific wizardly artist gained life and roamed during the night. The scholar wasn't particularly amicable but had great knowledge and might have had relevant information for the party."
39,"The PCs are asked to investigate a local mining company that is producing over three, sometimes four, times the usual amount of processed ores than expected, with the miners having no memories of working their shifts in the newest, deepest shaft. The smelting workers claim that the ore was never processed by them and show proof that it uses an older, now-banned technique."
40,"Your adoptive Mother, who took care of you and your brothers in childhood on orphanage was found dead in the woods with an amulet from one your brothers."
41,"A Cranium Rat approaches the party and asks for their help. Someone in town has been killing Cranium Rats to the exclusion of killing other forms of rodent pests and somehow, the psychic connection between the Cranium Rats breaks before death, denying the Hive from knowing their killer."
42,"An apprentice to the community's wizard is in jail for killing his master. It seems a Clay Golem they were building tore the head off the wizard and then ran into the woods. The only people who could have given orders to the Golem were the wizard and his apprentice so it’s obvious the apprentice did it, yet he claims he is innocent."
43,"Two powerful wizards have been feuding for years, but until today it was always fairly civil: written letters, disputations published in scholarly circles, and the occasional annoying and irritating curse (May your nose hair grow ten feet!). Today one of the wizards was found dead in his/her lab with the other wizard's dagger in his/her back."
44,"The Local Lord's poison taster fell grievously ill during a dinner party and everyone panicked. The Chef and all of her staff were arrested on grounds of attempted murder, the Alchemist was seen in the kitchens and so he too was arrested, and the King's cup bearer is under suspicion as well. On top of it all, the neighboring Lord is riding about the border 'hunting bandits' and sending patrols into the local county..."
45,"A serial killer is loose on town! The fourth body has been discovered and all share a shocking trait: each one is a dwarf, recently come to town to work the nearby mines. Is someone targeting dwarves or is there another link between them? And why now?"
