d100,Entry

1,"A shining pendant of white stone, engraved with a symbol that you vaguely recognize."
2,An ivory chess piece that once belonged to an Elven king. An adventuring ancestor of yours stole it and it has been passed down for many generations.
3,A quill pen crafted from the feather of a griffon. The feather can change the color of the ink being used on command.
4,A faded flag that belonged to a mysterious sea vessel. The ship was never found and you came across the flag washed ashore on the beach.
5,A troll's fang hanging from a leather cord. The troll was slain by a local folk hero and given to you as a gift.
6,The signet ring of a vanished monarchy.
7,Skull of a creature that nobody can recognize. It resembles a large bird with a hollow bone tube protruding from its forehead.
8,A large and curious-looking bulb (botanical). Nobody knows what will grow if it's planted.
9,A jar of unrecognizable spicy sauce that is from a foreign land.
10,"A set of four bone dice, so worn that you can barely make out the symbols."
11,A silver ring with a small hidden compartment.
12,A fist sized glass eye.
13,An old music box that plays a vaguely recognizable song nobody can place.
14,A pocket-size photo that can blink.
15,A worn-out book of jokes your grandpa use to win your grandma. It's dedicated to you even if you didn't meet him.
16,A tiny dragon preserved in amber.
17,"A river stone that crumbles when you hold it, but never gets smaller."
18,A mouse skull that floats when placed over a fire
19,A small tooth with a romantic scene carved into it in the finest detail.
20,"A gem that projects an illusion of a girl in white, she seems to be asking for something."
21,A stamp for a wax seal of a design you’ve never seen before.
22,A matchstick with a statue carved out of the head.
23,A bottle of wine with a label dated from before the Spellplague.
24,A medal known to be awarded to heroes of a long forgotten kingdom.
25,"An unsigned contract with an otherworldly entity that grants the undersigned a favor at the cost of one returned, any time any where any how."
26,A flower of unknown species that grows in an empty vase in a darkened room - no soil no water no light.
27,An engraved dagger that supposedly belonged to an adventuring family member.
28,A dark amulet found in a relative's desk/dresser drawer.
29,A piece of paper with the names of your present or future party members on it.
30,A mummified finger that crawls like an inch worm.
31,A small mirror that reflects how you might look in ten years time.
32,A tiny bell that sprinkles fine glitter when rung.
33,A intricately chased pommel that must have come from a very special sword.
34,A coin that always lands on its edge when tossed/dropped.
35,"A trio of interlinked rings, which rotate slowly when put on a flat surface."
36,A vial with a liquid inside that never comes full to rest.
37,A rectangle of brass with cutouts and notches at regular intervals.
38,"A tin box with a small, eternally lit ember inside."
39,"A ring of dozens of keys, with no two matching."
40,"An ancient animal femur, smooth and brown, with a silvered head."
41,A pearl earring that occasionally produces a mild electric shock.
42,A silvered horseshoe that points towards strong sources of magic.
43,"An onyx astrolabe, also usable as a spell focus for the astrologically-inclined."
44,The skull of a doppelganger carved into a mask. Sometimes it still shifts and takes new shapes.
45,A silver pin in the shape of a lily with a blue gem set at its heart.
46,An ornately carved wooden ink pen that improves your handwriting.
47,A twisted stone ring with seemingly only one edge if you trace it with your finger. Grants the wearer pleasant dreams.
48,An old weathered stone that glitters in the firelight.
49,A small leather coin pouch that looks as if it can only carry one coin - a lucky coin.
50,"A well worn copper coin with a hole in it, threaded on a cord. You always feel warm wearing it."
51,"A small wooden lock box. The interior has a spot carved for an object, but the object is missing."
52,A pitcher in the shape of a cat that pours cream no matter what liquid is inside.
53,A stone carved in the shape of a squat frog. Whatever surface it is placed on becomes damp.
54,"A miniature carved stone wizards tower, no longer than your hand. At night, the window at the top glows with a pleasant light."
